Category,Title,Description,key_0,key_1,key_2,key_3,key_4
Management advisory services,Request for Tender for the Provision of a Health Economics Services Panel,The Department of Health is seeking to establish a Health Economics Services Panel consisting of suitably qualified individuals or organisations with strong expertise and experience in the discipline of health economics,econom,health,panel,establish,servic
Earth science services,Provision of GNSS Surveying Services,Provision of GNSS Surveying Services,gnss,survey,provis,servic,[nonetag]
Education and Training Services,Australian Defence Force Driver Machinery And Plant Training Services,"   The Australian Defence Force (ADF) has adopted a training continuum that provides learners with the knowledge, skills, values, beliefs and attitudes relevant to their employment position and trade.     The ADF has a capability requirement for Navy, Army and Air Force members to attain qualifications in Driving, Machinery and Plant training. This ATM is for the provision of Driver, Machinery, Plant and Equipment training and is in accordance with directed training outcomes to meet ADF capability. The Contractor shall provide best industry practice, innovation, flexibility, simulation and continual improvement in delivery of the training and support services of this Standing Offer.     The linking of accreditation to ADF courses is not the prime focus for the ADF, as training is developed to meet operational requirements. Wherever possible if ADF training aligns with civilian qualifications, these shall be awarded to provide career prospects for Commonwealth employees. The contracted RTO is to hold RTO status with all required qualifications and competencies within their scope of registration.   ",adf,qualif,train,australian,capabl
Engineering and Research and Technology Based Services,.NET Developer - Canberra,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the Change Program in order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",australian,offic,tax,develop,ation
Engineering and Research and Technology Based Services,Senior Data Conversion Analyst,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as The Change Program in order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",australian,offic,tax,ation,ict
Management advisory services,Alliance Facilitator Services for Air Warfare Destroyer Program,"The Air Warfare Destroyer Program has a requirement for the provision of Alliance Facilitator services for Phase 2 of the AWD Program, with an option for continuation in Phase 3.",servic,facilit,allianc,program,warfar
Healthcare Services,HIV Cooperation Program for Indonesia,"A Contractor is sought to manage and implement The HIV Cooperation Program for Indonesia, including provision of personnel, resources and management services and to undertake all relevant planning, coordination, liaison, consultation and administration necessary for the effective delivery of the program.",hiv,program,cooper,indonesia,sought
Environmental Services,INDONESIA-AUSTRALIA FOREST CARBON PARTNERSHIP FACILITY (IAFCP FACILITY),The Indonesia-Australia Forest Carbon Partnership Facility (IAFCP Facility) is the implementation mechanism for the Indonesia-Australia Forest Carbon Partnership (IAFCP). ,iafcp,partnership,carbon,facil,australia
Specialised educational services,Promoting Interfaith and Intercultural Understanding in School Settings,"This pilot programme aims to support ideas and activities that promote interfaith and intercultural understanding in school settings, particularly linking Islamic students, their parents and leaders with the rest of community, including members of other f",intercultur,interfaith,islam,school,student
Strategic planning consultation services,Standing Offer Panel For Defence First Principles Review Implementation Support,Defence is seeking to provide support for the implementation phase of the Defence First Principles Review under a Standing Offer Panel arrangement.,principl,defenc,review,panel,implement
Education and Training Services,Regulatory Foundations Training Suite,The Australian Public Service (APS) Regulatory training pilot was announced as part of the JobMaker Plan – Deregulation Package to build APS regulator capability in the 2020-2021 Budget.,regulatori,pilot,ap,train,public
Education and Training Services,Provision of Leadership Development Program,Defence Housing Australia is seeking submissions for the provision of a Leadership Development Program from a subject matter expert to co-design and deliver its Senior Leadership Program.,leadership,australia,hous,submiss,program
Management advisory services,Due Diligence Services Panel,      Due Diligence Services Panel   ,dilig,panel,servic,[nonetag],[nonetag]
